" "," ","Non-Irish Speakers (Number)",16973,17676
" "," ","Not Stated (Number)",735,795
" "," ","Irish speakers as a percentage of total (%)",41.7,40.0
" ","Mayo"
" "," ","Population Aged 3 Years and Over (Number)",125129,125628
" "," ","Irish Speakers (Number)",56935,55097
" "," ","Non-Irish Speakers (Number)",66234,68059
" "," ","Not Stated (Number)",1960,2472
" "," ","Irish speakers as a percentage of total (%)",45.5,43.9
" ","Roscommon"
" "," ","Population Aged 3 Years and Over (Number)",61243,62027
" "," ","Irish Speakers (Number)",26875,25825
" "," ","Non-Irish Speakers (Number)",33359,35124
" "," ","Not Stated (Number)",1009,1078
" "," ","Irish speakers as a percentage of total (%)",43.9,41.6
" ","Sligo"
" "," ","Population Aged 3 Years and Over (Number)",62640,63101
" "," ","Irish Speakers (Number)",26211,25196
" "," ","Non-Irish Speakers (Number)",34842,36236
" "," ","Not Stated (Number)",1587,1669
" "," ","Irish speakers as a percentage of total (%)",41.8,39.9
" ","Cavan"
" "," ","Population Aged 3 Years and Over (Number)",69457,72870
" "," ","Irish Speakers (Number)",25280,25210
" "," ","Non-Irish Speakers (Number)",42669,46003
" "," ","Not Stated (Number)",1508,1657
" "," ","Irish speakers as a percentage of total (%)",36.4,34.6
" ","Donegal"
" "," ","Population Aged 3 Years and Over (Number)",153477,152973
" "," ","Irish Speakers (Number)",58998,56738
" "," ","Non-Irish Speakers (Number)",92471,92365
" "," ","Not Stated (Number)",2008,3870
" "," ","Irish speakers as a percentage of total (%)",38.4,37.1
" ","Monaghan"
" "," ","Population Aged 3 Years and Over (Number)",57491,58671
" "," ","Irish Speakers (Number)",22268,22065
" "," ","Non-Irish Speakers (Number)",34547,35448
" "," ","Not Stated (Number)",676,1158
" "," ","Irish speakers as a percentage of total (%)",38.7,37.6
"Male"
" ","State"
" "," ","Population Aged 3 Years and Over (Number)",2161466,2255697
" "," ","Irish Speakers (Number)",800850,792643
" "," ","Non-Irish Speakers (Number)",1312713,1387498
" "," ","Not Stated (Number)",47903,75556
" "," ","Irish speakers as a percentage of total (%)",37.1,35.1
" ","Carlow"
" "," ","Population Aged 3 Years and Over (Number)",26093,27293
" "," ","Irish Speakers (Number)",8867,8890
" "," ","Non-Irish Speakers (Number)",16606,17575
" "," ","Not Stated (Number)",620,828
" "," ","Irish speakers as a percentage of total (%)",34.0,32.6
" ","Dublin City"
" "," ","Population Aged 3 Years and Over (Number)",247353,262720
" "," ","Irish Speakers (Number)",71781,69573
" "," ","Non-Irish Speakers (Number)",165587,173743
" "," ","Not Stated (Number)",9985,19404
" "," ","Irish speakers as a percentage of total (%)",29.0,26.5
" ","Dún Laoghaire-Rathdown"
" "," ","Population Aged 3 Years and Over (Number)",94385,100353
" "," ","Irish Speakers (Number)",37168,37280
" "," ","Non-Irish Speakers (Number)",55562,60745
" "," ","Not Stated (Number)",1655,2328
" "," ","Irish speakers as a percentage of total (%)",39.4,37.1
" ","Fingal"
" "," ","Population Aged 3 Years and Over (Number)",125995,137879
" "," ","Irish Speakers (Number)",43567,45746
" "," ","Non-Irish Speakers (Number)",79346,86625
" "," ","Not Stated (Number)",3082,5508
" "," ","Irish speakers as a percentage of total (%)",34.6,33.2
" ","South Dublin"
" "," ","Population Aged 3 Years and Over (Number)",122378,129807
" "," ","Irish Speakers (Number)",40471,40925
" "," ","Non-Irish Speakers (Number)",79091,84218
" "," ","Not Stated (Number)",2816,4664
" "," ","Irish speakers as a percentage of total (%)",33.1,31.5
" ","Kildare"
" "," ","Population Aged 3 Years and Over (Number)",98805,105376
" "," ","Irish Speakers (Number)",37703,38604
" "," ","Non-Irish Speakers (Number)",59418,64388
" "," ","Not Stated (Number)",1684,2384
" "," ","Irish speakers as a percentage of total (%)",38.2,36.6
" ","Kilkenny"
" "," ","Population Aged 3 Years and Over (Number)",45420,47402
" "," ","Irish Speakers (Number)",17296,17301
" "," ","Non-Irish Speakers (Number)",27342,29140
" "," ","Not Stated (Number)",782,961
" "," ","Irish speakers as a percentage of total (%)",38.1,36.5
" ","Laois"
" "," ","Population Aged 3 Years and Over (Number)",38249,40888
" "," ","Irish Speakers (Number)",13850,14524
" "," ","Non-Irish Speakers (Number)",23116,24602
" "," ","Not Stated (Number)",1283,1762
" "," ","Irish speakers as a percentage of total (%)",36.2,35.5
" ","Longford"
" "," ","Population Aged 3 Years and Over (Number)",18659,19701
" "," ","Irish Speakers (Number)",6501,6297
" "," ","Non-Irish Speakers (Number)",11774,12825
" "," ","Not Stated (Number)",384,579
" "," ","Irish speakers as a percentage of total (%)",34.8,32.0
" ","Louth"
" "," ","Population Aged 3 Years and Over (Number)",57533,60826
" "," ","Irish Speakers (Number)",18970,18796
" "," ","Non-Irish Speakers (Number)",37330,40086
" "," ","Not Stated (Number)",1233,1944
" "," ","Irish speakers as a percentage of total (%)",33.0,30.9
" ","Meath"
" "," ","Population Aged 3 Years and Over (Number)",86553,92221
" "," ","Irish Speakers (Number)",30747,32211
" "," ","Non-Irish Speakers (Number)",54162,57805
" "," ","Not Stated (Number)",1644,2205
" "," ","Irish speakers as a percentage of total (%)",35.5,34.9
" ","Offaly"
" "," ","Population Aged 3 Years and Over (Number)",36514,37142
" "," ","Irish Speakers (Number)",12511,12237
" "," ","Non-Irish Speakers (Number)",23383,23871
" "," ","Not Stated (Number)",620,1034
" "," ","Irish speakers as a percentage of total (%)",34.3,32.9
" ","Westmeath"
" "," ","Population Aged 3 Years and Over (Number)",40685,42167
" "," ","Irish Speakers (Number)",14532,14321
" "," ","Non-Irish Speakers (Number)",25357,26671
" "," ","Not Stated (Number)",796,1175
" "," ","Irish speakers as a percentage of total (%)",35.7,34.0
" ","Wexford"
" "," ","Population Aged 3 Years and Over (Number)",68397,70626
" "," ","Irish Speakers (Number)",22257,22325
" "," ","Non-Irish Speakers (Number)",44987,46735
" "," ","Not Stated (Number)",1153,1566
" "," ","Irish speakers as a percentage of total (%)",32.5,31.6
" ","Wicklow"
" "," ","Population Aged 3 Years and Over (Number)",64014,67207
" "," ","Irish Speakers (Number)",21665,22284
" "," ","Non-Irish Speakers (Number)",41254,43355
" "," ","Not Stated (Number)",1095,1568
" "," ","Irish speakers as a percentage of total (%)",33.8,33.2
" ","Clare"
" "," ","Population Aged 3 Years and Over (Number)",55614,56484
" "," ","Irish Speakers (Number)",24708,23843
" "," ","Non-Irish Speakers (Number)",29683,31042
" "," ","Not Stated (Number)",1223,1599
" "," ","Irish speakers as a percentage of total (%)",44.4,42.2
" ","Cork City"
" "," ","Population Aged 3 Years and Over (Number)",56877,59775
" "," ","Irish Speakers (Number)",21594,20574
" "," ","Non-Irish Speakers (Number)",33580,36667
" "," ","Not Stated (Number)",1703,2534
" "," ","Irish speakers as a percentage of total (%)",38.0,34.4
" ","Cork County"
" "," ","Population Aged 3 Years and Over (Number)",188010,197668
" "," ","Irish Speakers (Number)",81597,82048
" "," ","Non-Irish Speakers (Number)",103076,111298
" "," ","Not Stated (Number)",3337,4322
" "," ","Irish speakers as a percentage of total (%)",43.4,41.5
" ","Kerry"
" "," ","Population Aged 3 Years and Over (Number)",69616,70444
" "," ","Irish Speakers (Number)",29196,27923
" "," ","Non-Irish Speakers (Number)",39057,40143
" "," ","Not Stated (Number)",1363,2378
" "," ","Irish speakers as a percentage of total (%)",41.9,39.6
" ","Limerick City and County"
" "," ","Population Aged 3 Years and Over (Number)",91271,93443
" "," ","Irish Speakers (Number)",37063,34842
" "," ","Non-Irish Speakers (Number)",52398,55588
" "," ","Not Stated (Number)",1810,3013
" "," ","Irish speakers as a percentage of total (%)",40.6,37.3
" ","Tipperary"
" "," ","Population Aged 3 Years and Over (Number)",75838,76395
" "," ","Irish Speakers (Number)",30713,29416
" "," ","Non-Irish Speakers (Number)",43772,45196
" "," ","Not Stated (Number)",1353,1783
" "," ","Irish speakers as a percentage of total (%)",40.5,38.5
" ","Waterford City and County"
" "," ","Population Aged 3 Years and Over (Number)",53779,55372
" "," ","Irish Speakers (Number)",21416,20583
" "," ","Non-Irish Speakers (Number)",31392,33074
" "," ","Not Stated (Number)",971,1715
" "," ","Irish speakers as a percentage of total (%)",39.8,37.2
" ","Galway City"
" "," ","Population Aged 3 Years and Over (Number)",34967,36350
" "," ","Irish Speakers (Number)",14136,13637
" "," ","Non-Irish Speakers (Number)",19909,21067
" "," ","Not Stated (Number)",922,1646
" "," ","Irish speakers as a percentage of total (%)",40.4,37.5
" ","Galway County"
" "," ","Population Aged 3 Years and Over (Number)",83927,86060
" "," ","Irish Speakers (Number)",39909,39179
" "," ","Non-Irish Speakers (Number)",42796,45031
" "," ","Not Stated (Number)",1222,1850
" "," ","Irish speakers as a percentage of total (%)",47.6,45.5
" ","Leitrim"
" "," ","Population Aged 3 Years and Over (Number)",15429,15429
" "," ","Irish Speakers (Number)",5718,5442
" "," ","Non-Irish Speakers (Number)",9322,9539
" "," ","Not Stated (Number)",389,448
" "," ","Irish speakers as a percentage of total (%)",37.1,35.3
" ","Mayo"
" "," ","Population Aged 3 Years and Over (Number)",62583,62508
" "," ","Irish Speakers (Number)",25666,24704
" "," ","Non-Irish Speakers (Number)",35839,36456
" "," ","Not Stated (Number)",1078,1348
" "," ","Irish speakers as a percentage of total (%)",41.0,39.5
" ","Roscommon"
" "," ","Population Aged 3 Years and Over (Number)",30888,31093
" "," ","Irish Speakers (Number)",11931,11406
" "," ","Non-Irish Speakers (Number)",18339,19080
" "," ","Not Stated (Number)",618,607
" "," ","Irish speakers as a percentage of total (%)",38.6,36.7
" ","Sligo"
" "," ","Population Aged 3 Years and Over (Number)",31028,31128
" "," ","Irish Speakers (Number)",11392,11009
" "," ","Non-Irish Speakers (Number)",18823,19260
" "," ","Not Stated (Number)",813,859
" "," ","Irish speakers as a percentage of total (%)",36.7,35.4
" ","Cavan"
" "," ","Population Aged 3 Years and Over (Number)",35069,36685
" "," ","Irish Speakers (Number)",11121,11152
" "," ","Non-Irish Speakers (Number)",23120,24668
" "," ","Not Stated (Number)",828,865
" "," ","Irish speakers as a percentage of total (%)",31.7,30.4
" ","Donegal"
" "," ","Population Aged 3 Years and Over (Number)",76588,75771
" "," ","Irish Speakers (Number)",26830,25667
" "," ","Non-Irish Speakers (Number)",48697,48096
" "," ","Not Stated (Number)",1061,2008
" "," ","Irish speakers as a percentage of total (%)",35.0,33.9
" ","Monaghan"
" "," ","Population Aged 3 Years and Over (Number)",28949,29484
" "," ","Irish Speakers (Number)",9974,9904
" "," ","Non-Irish Speakers (Number)",18595,18909
" "," ","Not Stated (Number)",380,671
" "," ","Irish speakers as a percentage of total (%)",34.5,33.6
"Female"
" ","State"
" "," ","Population Aged 3 Years and Over (Number)",2209165,2313564
" "," ","Irish Speakers (Number)",973587,968777
" "," ","Non-Irish Speakers (Number)",1194599,1280447
" "," ","Not Stated (Number)",40979,64340
" "," ","Irish speakers as a percentage of total (%)",44.1,41.9
" ","Carlow"
" "," ","Population Aged 3 Years and Over (Number)",25898,27304
" "," ","Irish Speakers (Number)",11105,11353
" "," ","Non-Irish Speakers (Number)",14271,15321
" "," ","Not Stated (Number)",522,630
" "," ","Irish speakers as a percentage of total (%)",42.9,41.6
" ","Dublin City"
" "," ","Population Aged 3 Years and Over (Number)",260824,273059
" "," ","Irish Speakers (Number)",91098,86863
" "," ","Non-Irish Speakers (Number)",161224,170356
" "," ","Not Stated (Number)",8502,15840
" "," ","Irish speakers as a percentage of total (%)",34.9,31.8
" ","Dún Laoghaire-Rathdown"
" "," ","Population Aged 3 Years and Over (Number)",103783,109492
" "," ","Irish Speakers (Number)",45832,45892
" "," ","Non-Irish Speakers (Number)",56221,61311
" "," ","Not Stated (Number)",1730,2289
" "," ","Irish speakers as a percentage of total (%)",44.2,41.9
" ","Fingal"
" "," ","Population Aged 3 Years and Over (Number)",131496,143862
" "," ","Irish Speakers (Number)",52970,55243
" "," ","Non-Irish Speakers (Number)",75917,83659
" "," ","Not Stated (Number)",2609,4960
" "," ","Irish speakers as a percentage of total (%)",40.3,38.4
" ","South Dublin"
" "," ","Population Aged 3 Years and Over (Number)",128619,136428
" "," ","Irish Speakers (Number)",49379,49891
" "," ","Non-Irish Speakers (Number)",76553,82301
" "," ","Not Stated (Number)",2687,4236
" "," ","Irish speakers as a percentage of total (%)",38.4,36.6
" ","Kildare"
" "," ","Population Aged 3 Years and Over (Number)",100055,107103
" "," ","Irish Speakers (Number)",45823,46822
" "," ","Non-Irish Speakers (Number)",52843,58283
" "," ","Not Stated (Number)",1389,1998
" "," ","Irish speakers as a percentage of total (%)",45.8,43.7
" ","Kilkenny"
" "," ","Population Aged 3 Years and Over (Number)",45385,47732
" "," ","Irish Speakers (Number)",21323,21421
" "," ","Non-Irish Speakers (Number)",23352,25519
" "," ","Not Stated (Number)",710,792
" "," ","Irish speakers as a percentage of total (%)",47.0,44.9
" ","Laois"
" "," ","Population Aged 3 Years and Over (Number)",37765,40024
" "," ","Irish Speakers (Number)",17461,17961
" "," ","Non-Irish Speakers (Number)",19654,21229
" "," ","Not Stated (Number)",650,834
" "," ","Irish speakers as a percentage of total (%)",46.2,44.9
" ","Longford"
" "," ","Population Aged 3 Years and Over (Number)",18416,19436
" "," ","Irish Speakers (Number)",7887,7760
" "," ","Non-Irish Speakers (Number)",10208,11210
" "," ","Not Stated (Number)",321,466
" "," ","Irish speakers as a percentage of total (%)",42.8,39.9
" ","Louth"
" "," ","Population Aged 3 Years and Over (Number)",59045,62580
" "," ","Irish Speakers (Number)",23136,23251
" "," ","Non-Irish Speakers (Number)",34876,37684
" "," ","Not Stated (Number)",1033,1645
" "," ","Irish speakers as a percentage of total (%)",39.2,37.2
" ","Meath"
" "," ","Population Aged 3 Years and Over (Number)",86991,93884
" "," ","Irish Speakers (Number)",37512,39552
" "," ","Non-Irish Speakers (Number)",48172,52439
" "," ","Not Stated (Number)",1307,1893
" "," ","Irish speakers as a percentage of total (%)",43.1,42.1
" ","Offaly"
" "," ","Population Aged 3 Years and Over (Number)",36379,37535
" "," ","Irish Speakers (Number)",15667,15570
" "," ","Non-Irish Speakers (Number)",20280,21185
" "," ","Not Stated (Number)",432,780
" "," ","Irish speakers as a percentage of total (%)",43.1,41.5
" ","Westmeath"
" "," ","Population Aged 3 Years and Over (Number)",41318,42806
" "," ","Irish Speakers (Number)",18239,17888
" "," ","Non-Irish Speakers (Number)",22343,23921
" "," ","Not Stated (Number)",736,997
" "," ","Irish speakers as a percentage of total (%)",44.1,41.8
" ","Wexford"
" "," ","Population Aged 3 Years and Over (Number)",69997,73104
" "," ","Irish Speakers (Number)",28679,28905
" "," ","Non-Irish Speakers (Number)",40231,42727
" "," ","Not Stated (Number)",1087,1472
" "," ","Irish speakers as a percentage of total (%)",41.0,39.5
" ","Wicklow"
" "," ","Population Aged 3 Years and Over (Number)",65629,69422
" "," ","Irish Speakers (Number)",26837,27671
" "," ","Non-Irish Speakers (Number)",37887,40298
" "," ","Not Stated (Number)",905,1453
" "," ","Irish speakers as a percentage of total (%)",40.9,39.9
" ","Clare"
" "," ","Population Aged 3 Years and Over (Number)",56337,57888
" "," ","Irish Speakers (Number)",29145,28639
" "," ","Non-Irish Speakers (Number)",26106,27847
" "," ","Not Stated (Number)",1086,1402
" "," ","Irish speakers as a percentage of total (%)",51.7,49.5
" ","Cork City"
" "," ","Population Aged 3 Years and Over (Number)",58548,62059
" "," ","Irish Speakers (Number)",24972,24248
" "," ","Non-Irish Speakers (Number)",32194,35790
" "," ","Not Stated (Number)",1382,2021
" "," ","Irish speakers as a percentage of total (%)",42.7,39.1
" ","Cork County"
" "," ","Population Aged 3 Years and Over (Number)",191051,201434
" "," ","Irish Speakers (Number)",95939,97269
" "," ","Non-Irish Speakers (Number)",92156,100359
" "," ","Not Stated (Number)",2956,3806
" "," ","Irish speakers as a percentage of total (%)",50.2,48.3
" ","Kerry"
" "," ","Population Aged 3 Years and Over (Number)",69921,72165
" "," ","Irish Speakers (Number)",34909,33674
" "," ","Non-Irish Speakers (Number)",33788,36172
" "," ","Not Stated (Number)",1224,2319
" "," ","Irish speakers as a percentage of total (%)",49.9,46.7
" ","Limerick City and County"
" "," ","Population Aged 3 Years and Over (Number)",91821,93767
" "," ","Irish Speakers (Number)",44357,42471
" "," ","Non-Irish Speakers (Number)",45910,48610
" "," ","Not Stated (Number)",1554,2686
" "," ","Irish speakers as a percentage of total (%)",48.3,45.3
" ","Tipperary"
" "," ","Population Aged 3 Years and Over (Number)",75681,76807
" "," ","Irish Speakers (Number)",36625,35975
" "," ","Non-Irish Speakers (Number)",37971,39406
" "," ","Not Stated (Number)",1085,1426
" "," ","Irish speakers as a percentage of total (%)",48.4,46.8
" ","Waterford City and County"
" "," ","Population Aged 3 Years and Over (Number)",54750,56375
" "," ","Irish Speakers (Number)",25330,24738
" "," ","Non-Irish Speakers (Number)",28518,30187
" "," ","Not Stated (Number)",902,1450
" "," ","Irish speakers as a percentage of total (%)",46.3,43.9
" ","Galway City"
" "," ","Population Aged 3 Years and Over (Number)",37504,39449
" "," ","Irish Speakers (Number)",17730,17503
" "," ","Non-Irish Speakers (Number)",18901,20475
" "," ","Not Stated (Number)",873,1471
" "," ","Irish speakers as a percentage of total (%)",47.3,44.4
" ","Galway County"
" "," ","Population Aged 3 Years and Over (Number)",82697,85906
" "," ","Irish Speakers (Number)",45053,45070
" "," ","Non-Irish Speakers (Number)",36663,39255
" "," ","Not Stated (Number)",981,1581
" "," ","Irish speakers as a percentage of total (%)",54.5,52.5
" ","Leitrim"
" "," ","Population Aged 3 Years and Over (Number)",14923,15342
" "," ","Irish Speakers (Number)",6926,6858
" "," ","Non-Irish Speakers (Number)",7651,8137
" "," ","Not Stated (Number)",346,347
" "," ","Irish speakers as a percentage of total (%)",46.4,44.7
" ","Mayo"
" "," ","Population Aged 3 Years and Over (Number)",62546,63120
" "," ","Irish Speakers (Number)",31269,30393
" "," ","Non-Irish Speakers (Number)",30395,31603
" "," ","Not Stated (Number)",882,1124
" "," ","Irish speakers as a percentage of total (%)",50.0,48.2
" ","Roscommon"
" "," ","Population Aged 3 Years and Over (Number)",30355,30934
" "," ","Irish Speakers (Number)",14944,14419
" "," ","Non-Irish Speakers (Number)",15020,16044
" "," ","Not Stated (Number)",391,471
" "," ","Irish speakers as a percentage of total (%)",49.2,46.6
" ","Sligo"
" "," ","Population Aged 3 Years and Over (Number)",31612,31973
" "," ","Irish Speakers (Number)",14819,14187
" "," ","Non-Irish Speakers (Number)",16019,16976
" "," ","Not Stated (Number)",774,810
" "," ","Irish speakers as a percentage of total (%)",46.9,44.4
" ","Cavan"
" "," ","Population Aged 3 Years and Over (Number)",34388,36185
" "," ","Irish Speakers (Number)",14159,14058
" "," ","Non-Irish Speakers (Number)",19549,21335
" "," ","Not Stated (Number)",680,792
" "," ","Irish speakers as a percentage of total (%)",41.2,38.9
" ","Donegal"
" "," ","Population Aged 3 Years and Over (Number)",76889,77202
" "," ","Irish Speakers (Number)",32168,31071
" "," ","Non-Irish Speakers (Number)",43774,44269
" "," ","Not Stated (Number)",947,1862
" "," ","Irish speakers as a percentage of total (%)",41.8,40.2
" ","Monaghan"
" "," ","Population Aged 3 Years and Over (Number)",28542,29187
" "," ","Irish Speakers (Number)",12294,12161
" "," ","Non-Irish Speakers (Number)",15952,16539
" "," ","Not Stated (Number)",296,487
" "," ","Irish speakers as a percentage of total (%)",43.1,41.7

"When excluding not stated, people with an ability to speak Irish made "
"up 39.8% of the population in 2016 "

