" "," ","Irish speakers as a percentage of total (%)",32.0,31.8
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",102036,115467
" "," ","Irish Speakers (Number)",32722,35845
" "," ","Non-Irish Speakers (Number)",66526,76130
" "," ","Not Stated (Number)",2788,3492
" "," ","Irish speakers as a percentage of total (%)",32.1,31.0
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",70113,81037
" "," ","Irish Speakers (Number)",22765,25381
" "," ","Non-Irish Speakers (Number)",44775,52749
" "," ","Not Stated (Number)",2573,2907
" "," ","Irish speakers as a percentage of total (%)",32.5,31.3
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",58416,67555
" "," ","Irish Speakers (Number)",18012,21130
" "," ","Non-Irish Speakers (Number)",37130,42637
" "," ","Not Stated (Number)",3274,3788
" "," ","Irish speakers as a percentage of total (%)",30.8,31.3
"All Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",96628,96090
" "," ","Irish Speakers (Number)",66238,63664
" "," ","Non-Irish Speakers (Number)",29114,30723
" "," ","Not Stated (Number)",1276,1703
" "," ","Irish speakers as a percentage of total (%)",68.5,66.3
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",2801,2641
" "," ","Irish Speakers (Number)",1410,1236
" "," ","Non-Irish Speakers (Number)",1279,1290
" "," ","Not Stated (Number)",112,115
" "," ","Irish speakers as a percentage of total (%)",50.3,46.8
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",6795,6884
" "," ","Irish Speakers (Number)",5570,5676
" "," ","Non-Irish Speakers (Number)",1094,1082
" "," ","Not Stated (Number)",131,126
" "," ","Irish speakers as a percentage of total (%)",82.0,82.5
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",7073,6683
" "," ","Irish Speakers (Number)",6222,5820
" "," ","Non-Irish Speakers (Number)",765,739
" "," ","Not Stated (Number)",86,124
" "," ","Irish speakers as a percentage of total (%)",88.0,87.1
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",6680,6722
" "," ","Irish Speakers (Number)",5520,5641
" "," ","Non-Irish Speakers (Number)",1089,985
" "," ","Not Stated (Number)",71,96
" "," ","Irish speakers as a percentage of total (%)",82.6,83.9
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",5679,5163
" "," ","Irish Speakers (Number)",3873,3499
" "," ","Non-Irish Speakers (Number)",1727,1591
" "," ","Not Stated (Number)",79,73
" "," ","Irish speakers as a percentage of total (%)",68.2,67.8
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",6219,4727
" "," ","Irish Speakers (Number)",3609,2724
" "," ","Non-Irish Speakers (Number)",2534,1853
" "," ","Not Stated (Number)",76,150
" "," ","Irish speakers as a percentage of total (%)",58.0,57.6
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",6871,6052
" "," ","Irish Speakers (Number)",3986,3222
" "," ","Non-Irish Speakers (Number)",2803,2721
" "," ","Not Stated (Number)",82,109
" "," ","Irish speakers as a percentage of total (%)",58.0,53.2
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",7262,6914
" "," ","Irish Speakers (Number)",4514,3911
" "," ","Non-Irish Speakers (Number)",2664,2881
" "," ","Not Stated (Number)",84,122
" "," ","Irish speakers as a percentage of total (%)",62.2,56.6
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",7147,7025
" "," ","Irish Speakers (Number)",4435,4273
" "," ","Non-Irish Speakers (Number)",2639,2670
" "," ","Not Stated (Number)",73,82
" "," ","Irish speakers as a percentage of total (%)",62.1,60.8
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",7048,6947
" "," ","Irish Speakers (Number)",4412,4127
" "," ","Non-Irish Speakers (Number)",2565,2702
" "," ","Not Stated (Number)",71,118
" "," ","Irish speakers as a percentage of total (%)",62.6,59.4
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",6893,6821
" "," ","Irish Speakers (Number)",4559,4118
" "," ","Non-Irish Speakers (Number)",2259,2610
" "," ","Not Stated (Number)",75,93
" "," ","Irish speakers as a percentage of total (%)",66.1,60.4
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",6368,6776
" "," ","Irish Speakers (Number)",4306,4276
" "," ","Non-Irish Speakers (Number)",1991,2403
" "," ","Not Stated (Number)",71,97
" "," ","Irish speakers as a percentage of total (%)",67.6,63.1
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",5744,6224
" "," ","Irish Speakers (Number)",3845,4057
" "," ","Non-Irish Speakers (Number)",1837,2090
" "," ","Not Stated (Number)",62,77
" "," ","Irish speakers as a percentage of total (%)",66.9,65.2
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",4583,5639
" "," ","Irish Speakers (Number)",3087,3642
" "," ","Non-Irish Speakers (Number)",1430,1910
" "," ","Not Stated (Number)",66,87
" "," ","Irish speakers as a percentage of total (%)",67.4,64.6
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",3288,4209
" "," ","Irish Speakers (Number)",2295,2746
" "," ","Non-Irish Speakers (Number)",947,1390
" "," ","Not Stated (Number)",46,73
" "," ","Irish speakers as a percentage of total (%)",69.8,65.2
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",2610,2896
" "," ","Irish Speakers (Number)",1864,1959
" "," ","Non-Irish Speakers (Number)",715,867
" "," ","Not Stated (Number)",31,70
" "," ","Irish speakers as a percentage of total (%)",71.4,67.6
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",1856,1983
" "," ","Irish Speakers (Number)",1420,1412
" "," ","Non-Irish Speakers (Number)",407,531
" "," ","Not Stated (Number)",29,40
" "," ","Irish speakers as a percentage of total (%)",76.5,71.2
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",1711,1784
" "," ","Irish Speakers (Number)",1311,1325
" "," ","Non-Irish Speakers (Number)",369,408
" "," ","Not Stated (Number)",31,51
" "," ","Irish speakers as a percentage of total (%)",76.6,74.3
"Cork Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",3715,3764
" "," ","Irish Speakers (Number)",2951,2872
" "," ","Non-Irish Speakers (Number)",739,841
" "," ","Not Stated (Number)",25,51
" "," ","Irish speakers as a percentage of total (%)",79.4,76.3
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",141,109
" "," ","Irish Speakers (Number)",86,60
" "," ","Non-Irish Speakers (Number)",49,48
" "," ","Not Stated (Number)",6,1
" "," ","Irish speakers as a percentage of total (%)",61.0,55.0
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",252,301
" "," ","Irish Speakers (Number)",237,278
" "," ","Non-Irish Speakers (Number)",13,17
" "," ","Not Stated (Number)",2,6
" "," ","Irish speakers as a percentage of total (%)",94.0,92.4
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",290,256
" "," ","Irish Speakers (Number)",277,244
" "," ","Non-Irish Speakers (Number)",11,8
" "," ","Not Stated (Number)",2,4
" "," ","Irish speakers as a percentage of total (%)",95.5,95.3
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",234,243
" "," ","Irish Speakers (Number)",215,227
" "," ","Non-Irish Speakers (Number)",18,14
" "," ","Not Stated (Number)",1,2
" "," ","Irish speakers as a percentage of total (%)",91.9,93.4
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",207,193
" "," ","Irish Speakers (Number)",172,157
" "," ","Non-Irish Speakers (Number)",34,35
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",83.1,81.3
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",243,185
" "," ","Irish Speakers (Number)",187,133
" "," ","Non-Irish Speakers (Number)",56,49
" "," ","Not Stated (Number)",0,3
" "," ","Irish speakers as a percentage of total (%)",77.0,71.9
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",272,260
" "," ","Irish Speakers (Number)",197,170
" "," ","Non-Irish Speakers (Number)",75,88
" "," ","Not Stated (Number)",0,2
" "," ","Irish speakers as a percentage of total (%)",72.4,65.4
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",297,310
" "," ","Irish Speakers (Number)",216,211
" "," ","Non-Irish Speakers (Number)",79,92
" "," ","Not Stated (Number)",2,7
" "," ","Irish speakers as a percentage of total (%)",72.7,68.1
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",276,281
" "," ","Irish Speakers (Number)",206,217
" "," ","Non-Irish Speakers (Number)",70,61
" "," ","Not Stated (Number)",0,3
" "," ","Irish speakers as a percentage of total (%)",74.6,77.2
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",274,265
" "," ","Irish Speakers (Number)",210,187
" "," ","Non-Irish Speakers (Number)",64,76
" "," ","Not Stated (Number)",0,2
" "," ","Irish speakers as a percentage of total (%)",76.6,70.6
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",255,273
" "," ","Irish Speakers (Number)",197,197
" "," ","Non-Irish Speakers (Number)",55,73
" "," ","Not Stated (Number)",3,3
" "," ","Irish speakers as a percentage of total (%)",77.3,72.2
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",242,262
" "," ","Irish Speakers (Number)",178,192
" "," ","Non-Irish Speakers (Number)",62,67
" "," ","Not Stated (Number)",2,3
" "," ","Irish speakers as a percentage of total (%)",73.6,73.3
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",199,219
" "," ","Irish Speakers (Number)",138,157
" "," ","Non-Irish Speakers (Number)",61,58
" "," ","Not Stated (Number)",0,4
" "," ","Irish speakers as a percentage of total (%)",69.3,71.7
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",159,205
" "," ","Irish Speakers (Number)",128,131
" "," ","Non-Irish Speakers (Number)",30,69
" "," ","Not Stated (Number)",1,5
" "," ","Irish speakers as a percentage of total (%)",80.5,63.9
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",138,147
" "," ","Irish Speakers (Number)",101,108
" "," ","Non-Irish Speakers (Number)",33,35
" "," ","Not Stated (Number)",4,4
" "," ","Irish speakers as a percentage of total (%)",73.2,73.5
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",107,123
" "," ","Irish Speakers (Number)",93,96
" "," ","Non-Irish Speakers (Number)",14,27
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",86.9,78.0
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",76,78
" "," ","Irish Speakers (Number)",67,61
" "," ","Non-Irish Speakers (Number)",9,16
" "," ","Not Stated (Number)",0,1
" "," ","Irish speakers as a percentage of total (%)",88.2,78.2
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",53,54
" "," ","Irish Speakers (Number)",46,46
" "," ","Non-Irish Speakers (Number)",6,8
" "," ","Not Stated (Number)",1,0
" "," ","Irish speakers as a percentage of total (%)",86.8,85.2
"Donegal Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",23810,22608
" "," ","Irish Speakers (Number)",17132,15879
" "," ","Non-Irish Speakers (Number)",6432,6369
" "," ","Not Stated (Number)",246,360
" "," ","Irish speakers as a percentage of total (%)",72.0,70.2
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",640,562
" "," ","Irish Speakers (Number)",384,315
" "," ","Non-Irish Speakers (Number)",234,220
" "," ","Not Stated (Number)",22,27
" "," ","Irish speakers as a percentage of total (%)",60.0,56.0
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",1727,1589
" "," ","Irish Speakers (Number)",1458,1336
" "," ","Non-Irish Speakers (Number)",244,216
" "," ","Not Stated (Number)",25,37
" "," ","Irish speakers as a percentage of total (%)",84.4,84.1
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",1746,1666
" "," ","Irish Speakers (Number)",1538,1478
" "," ","Non-Irish Speakers (Number)",189,164
" "," ","Not Stated (Number)",19,24
" "," ","Irish speakers as a percentage of total (%)",88.1,88.7
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",1521,1487
" "," ","Irish Speakers (Number)",1276,1278
" "," ","Non-Irish Speakers (Number)",232,189
" "," ","Not Stated (Number)",13,20
" "," ","Irish speakers as a percentage of total (%)",83.9,85.9
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",1137,896
" "," ","Irish Speakers (Number)",866,667
" "," ","Non-Irish Speakers (Number)",264,216
" "," ","Not Stated (Number)",7,13
" "," ","Irish speakers as a percentage of total (%)",76.2,74.4
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",1134,879
" "," ","Irish Speakers (Number)",748,577
" "," ","Non-Irish Speakers (Number)",378,277
" "," ","Not Stated (Number)",8,25
" "," ","Irish speakers as a percentage of total (%)",66.0,65.6
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",1401,1058
" "," ","Irish Speakers (Number)",925,664
" "," ","Non-Irish Speakers (Number)",462,379
" "," ","Not Stated (Number)",14,15
" "," ","Irish speakers as a percentage of total (%)",66.0,62.8
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",1633,1418
" "," ","Irish Speakers (Number)",1116,921
" "," ","Non-Irish Speakers (Number)",503,476
" "," ","Not Stated (Number)",14,21
" "," ","Irish speakers as a percentage of total (%)",68.3,65.0
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",1727,1598
" "," ","Irish Speakers (Number)",1136,1041
" "," ","Non-Irish Speakers (Number)",581,538
" "," ","Not Stated (Number)",10,19
" "," ","Irish speakers as a percentage of total (%)",65.8,65.1
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",1745,1677
" "," ","Irish Speakers (Number)",1136,1057
" "," ","Non-Irish Speakers (Number)",596,590
" "," ","Not Stated (Number)",13,30
" "," ","Irish speakers as a percentage of total (%)",65.1,63.0
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",1608,1645
" "," ","Irish Speakers (Number)",1104,1058
" "," ","Non-Irish Speakers (Number)",494,568
" "," ","Not Stated (Number)",10,19
" "," ","Irish speakers as a percentage of total (%)",68.7,64.3
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",1538,1588
" "," ","Irish Speakers (Number)",1009,1056
" "," ","Non-Irish Speakers (Number)",510,517
" "," ","Not Stated (Number)",19,15
" "," ","Irish speakers as a percentage of total (%)",65.6,66.5
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",1576,1490
" "," ","Irish Speakers (Number)",1030,965
" "," ","Non-Irish Speakers (Number)",530,508
" "," ","Not Stated (Number)",16,17
" "," ","Irish speakers as a percentage of total (%)",65.4,64.8
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",1395,1541
" "," ","Irish Speakers (Number)",931,965
" "," ","Non-Irish Speakers (Number)",439,555
" "," ","Not Stated (Number)",25,21
" "," ","Irish speakers as a percentage of total (%)",66.7,62.6
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",1136,1275
" "," ","Irish Speakers (Number)",796,864
" "," ","Non-Irish Speakers (Number)",326,390
" "," ","Not Stated (Number)",14,21
" "," ","Irish speakers as a percentage of total (%)",70.1,67.8
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",902,978
" "," ","Irish Speakers (Number)",677,665
" "," ","Non-Irish Speakers (Number)",218,297
" "," ","Not Stated (Number)",7,16
" "," ","Irish speakers as a percentage of total (%)",75.1,68.0
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",658,670
" "," ","Irish Speakers (Number)",526,509
" "," ","Non-Irish Speakers (Number)",126,149
" "," ","Not Stated (Number)",6,12
" "," ","Irish speakers as a percentage of total (%)",79.9,76.0
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",586,591
" "," ","Irish Speakers (Number)",476,463
" "," ","Non-Irish Speakers (Number)",106,120
" "," ","Not Stated (Number)",4,8
" "," ","Irish speakers as a percentage of total (%)",81.2,78.3
"Galway City Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",14572,15127
" "," ","Irish Speakers (Number)",7123,7020
" "," ","Non-Irish Speakers (Number)",7190,7667
" "," ","Not Stated (Number)",259,440
" "," ","Irish speakers as a percentage of total (%)",48.9,46.4
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",436,436
" "," ","Irish Speakers (Number)",87,79
" "," ","Non-Irish Speakers (Number)",325,329
" "," ","Not Stated (Number)",24,28
" "," ","Irish speakers as a percentage of total (%)",20.0,18.1
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",994,1065
" "," ","Irish Speakers (Number)",668,718
" "," ","Non-Irish Speakers (Number)",298,312
" "," ","Not Stated (Number)",28,35
" "," ","Irish speakers as a percentage of total (%)",67.2,67.4
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",936,893
" "," ","Irish Speakers (Number)",724,677
" "," ","Non-Irish Speakers (Number)",196,194
" "," ","Not Stated (Number)",16,22
" "," ","Irish speakers as a percentage of total (%)",77.4,75.8
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",1100,1151
" "," ","Irish Speakers (Number)",737,770
" "," ","Non-Irish Speakers (Number)",342,354
" "," ","Not Stated (Number)",21,27
" "," ","Irish speakers as a percentage of total (%)",67.0,66.9
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",1458,1512
" "," ","Irish Speakers (Number)",711,793
" "," ","Non-Irish Speakers (Number)",716,683
" "," ","Not Stated (Number)",31,36
" "," ","Irish speakers as a percentage of total (%)",48.8,52.4
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",1666,1195
" "," ","Irish Speakers (Number)",641,426
" "," ","Non-Irish Speakers (Number)",1005,724
" "," ","Not Stated (Number)",20,45
" "," ","Irish speakers as a percentage of total (%)",38.5,35.6
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",1671,1483
" "," ","Irish Speakers (Number)",637,481
" "," ","Non-Irish Speakers (Number)",1014,966
" "," ","Not Stated (Number)",20,36
" "," ","Irish speakers as a percentage of total (%)",38.1,32.4
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",1309,1474
" "," ","Irish Speakers (Number)",526,519
" "," ","Non-Irish Speakers (Number)",770,918
" "," ","Not Stated (Number)",13,37
" "," ","Irish speakers as a percentage of total (%)",40.2,35.2
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",1029,1163
" "," ","Irish Speakers (Number)",393,421
" "," ","Non-Irish Speakers (Number)",626,726
" "," ","Not Stated (Number)",10,16
" "," ","Irish speakers as a percentage of total (%)",38.2,36.2
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",914,1007
" "," ","Irish Speakers (Number)",382,371
" "," ","Non-Irish Speakers (Number)",520,607
" "," ","Not Stated (Number)",12,29
" "," ","Irish speakers as a percentage of total (%)",41.8,36.8
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",879,894
" "," ","Irish Speakers (Number)",436,342
" "," ","Non-Irish Speakers (Number)",433,527
" "," ","Not Stated (Number)",10,25
" "," ","Irish speakers as a percentage of total (%)",49.6,38.3
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",699,850
" "," ","Irish Speakers (Number)",380,388
" "," ","Non-Irish Speakers (Number)",313,445
" "," ","Not Stated (Number)",6,17
" "," ","Irish speakers as a percentage of total (%)",54.4,45.6
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",528,693
" "," ","Irish Speakers (Number)",296,358
" "," ","Non-Irish Speakers (Number)",225,322
" "," ","Not Stated (Number)",7,13
" "," ","Irish speakers as a percentage of total (%)",56.1,51.7
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",384,517
" "," ","Irish Speakers (Number)",226,276
" "," ","Non-Irish Speakers (Number)",153,234
" "," ","Not Stated (Number)",5,7
" "," ","Irish speakers as a percentage of total (%)",58.9,53.4
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",213,348
" "," ","Irish Speakers (Number)",109,180
" "," ","Non-Irish Speakers (Number)",97,162
" "," ","Not Stated (Number)",7,6
" "," ","Irish speakers as a percentage of total (%)",51.2,51.7
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",149,218
" "," ","Irish Speakers (Number)",79,107
" "," ","Non-Irish Speakers (Number)",65,89
" "," ","Not Stated (Number)",5,22
" "," ","Irish speakers as a percentage of total (%)",53.0,49.1
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",110,115
" "," ","Irish Speakers (Number)",53,63
" "," ","Non-Irish Speakers (Number)",48,42
" "," ","Not Stated (Number)",9,10
" "," ","Irish speakers as a percentage of total (%)",48.2,54.8
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",97,113
" "," ","Irish Speakers (Number)",38,51
" "," ","Non-Irish Speakers (Number)",44,33
" "," ","Not Stated (Number)",15,29
" "," ","Irish speakers as a percentage of total (%)",39.2,45.1
"Galway County Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",32131,32544
" "," ","Irish Speakers (Number)",23855,23550
" "," ","Non-Irish Speakers (Number)",7884,8560
" "," ","Not Stated (Number)",392,434
" "," ","Irish speakers as a percentage of total (%)",74.2,72.4
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",989,985
" "," ","Irish Speakers (Number)",526,489
" "," ","Non-Irish Speakers (Number)",430,455
" "," ","Not Stated (Number)",33,41
" "," ","Irish speakers as a percentage of total (%)",53.2,49.6
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",2434,2522
" "," ","Irish Speakers (Number)",2049,2127
" "," ","Non-Irish Speakers (Number)",342,373
" "," ","Not Stated (Number)",43,22
" "," ","Irish speakers as a percentage of total (%)",84.2,84.3
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",2419,2403
" "," ","Irish Speakers (Number)",2194,2161
" "," ","Non-Irish Speakers (Number)",197,220
" "," ","Not Stated (Number)",28,22
" "," ","Irish speakers as a percentage of total (%)",90.7,89.9
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",2309,2340
" "," ","Irish Speakers (Number)",2005,2092
" "," ","Non-Irish Speakers (Number)",283,230
" "," ","Not Stated (Number)",21,18
" "," ","Irish speakers as a percentage of total (%)",86.8,89.4
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",1810,1594
" "," ","Irish Speakers (Number)",1380,1217
" "," ","Non-Irish Speakers (Number)",403,367
" "," ","Not Stated (Number)",27,10
" "," ","Irish speakers as a percentage of total (%)",76.2,76.3
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",1861,1496
